name,website,elevator_pitch,description,technology_description,mit_connection,contact,founded,employees,technology,industry,capital_raised,keywords,profile_url,scraped_at
PROTECTED Edit,https://www.protected.us/,"Violent attacks, particularly those in schools conducted with firearms, pose a serious threat to our most precious resource - our children and our loved ones. These attacks can be difficult to predict or prevent, leaving victims unprepared. ProtectEd provides a unique security solution to this problem - the ProtectEd Bookshelf, which serves as a physical barricade, ballistic barrier, and psychological deterrent against violence in schools, government buildings, and offices.","Established in the fall of 2010 in Cambridge, MA, NuVu is an award winning full-time innovation studio for high school students. NuVu’s pedagogy is based on the architectural studio model and geared around multi-disciplinary, collaborative projects. NuVu provides students the opportunity to work collaboratively with academic and professional experts (PhDs/alumni from MIT and Harvard as well as leading professionals) to solve real-world problems. NuVu nurtures creative problem solving, team collaboration across networks, oral and presentation skills, technological proficiency, systems thinking, adaptability, risk-taking and imagination; All critical for student success in the 21st century. NuVu’s pedagogy is informed by the architectural design Studio where a coach guides students in hands-on problem-solving to solve complex, comprehensive problems. The Studio model uses exercises to build skills and integrates students’ knowledge in a final project. Within each multidisciplinary Studio, students explore problems rigorously by focusing on one project for two weeks. A Studio Coach mentors students to develop their project through an iterative process over the course of the Studio. Students confront the small and large contexts within problems as they are exposed to complex, ‘messy’ situations. The NuVu Team continuously evaluates students through deskcrits and final reviews. Develop Real-World Solutions for the World -- Taught within the multidisciplinary framework of the design Studio rather than traditional subjects, NuVu students acquire a highly personalized understanding of the world and how they relate to it and can fully participate in it. They develop multiple solutions to problems and learn the importance of moving from one solution to the next, combining, exploring and thinking of the possibilities. They also learn how to change their perspective on an issue quickly. They learn that solutions depend on perspective, and only by understanding an issue from multiple perspectives can they fully explore the terrain of possibilities. Iterative Process, Constant Feedback -- The iterative process, or process of refining an idea, product or solution, in the design studio is intended to provide students with continual feedback from NuVu Coaches and Staff on performance as well as product. NuVu students also experience working in an intense, feedback-rich environment that provides them with information and support for continuous self-evaluation, reflection, and improvement. Learn in New Ways -- NuVu challenges students to learn in new ways: analytical thinkers are inspired to explore their creative selves, while creative students expand their capacity to think and learn analytically. NuVu capitalizes on the immense resources of the Massachusetts Institute of Technology and Harvard University to focus on hands-on problem solving, encourage an inventive culture, promote peer teaching and learning, and cultivate students’ curiosity. Portfolio-Based Assessment -- Instead of grading, NuVu uses a portfolio-based assessment. A portfolio serves as a compilation of student work done at NuVu over the course of the term, semester or full year and is meant to show the student's growth over time and development of key academic and life skills (creativity, critical thinking, collaboration, communication, research, quantitative reasoning and analysis). Each NuVu student is provided with their own online profile on NuVu's online platform where they document and present their work. At frequent periods during the term, NuVu's team works with the student to assess how far the student has developed since the beginning of the term. The portfolio-based assessment helps make learning and assessment relevant to students' lives.","The ProtectEd ballistic bookshelf is a simple, easy-to-use product that provides both a practical function as a bookshelf and a protective function as a barrier against attack. In the event of a violent incident, it can be easily rolled in front of a classroom door or window by either children or adults in seconds. It securely latches in place over the door and door frame, where it serves as a ballistic, physical, and psychological barrier. Once locked in position, the bookshelf blocks assailants from seeing inside or entering the room, and it can block the room's occupants from small arms gunfire. Additionally, there is a patent-pending psychological deterrent on the rear face of the bookshelf that has the ability to deter or delay an attack, buying invaluable minutes and seconds for law enforcement to respond.",MIT student as founder | Tom Ankenbauer (MIT Sloan '22) is a co-founder.,"4401 Baker Grove Road, Suite 310, Acworth, GA, 30101 • info@protected.us, startupexchange-admin@mit.edu, startupexchange@mit.edu","Jan 24, 2020",,Other,Education,Under $2M,"Physical security, safety, education, government, barricade, barrier, ballistic, bullet-resistant, bulletproof, deterrent, deterrence",https://startupexchange.mit.edu/node/28410,2025-08-22T21:40:45
PROVOCATIVE Edit,,"Provocative carbon negative data centers. The airflow generated to cool just 15 servers is enough to capture 3,000 tons of CO2 per year.","Ekotrope Inc. is a Cambridge-MA-based company that offers unique software solutions for designing energy-efficient buildings to maximize owners’ investments as well as ensuring energy code compliance in today’s changing construction environment. Founded in 2010, the inspiration for Ekotrope’s optimization engine grew out of MIT Aeronautics and Astronautics Professor Edward F. Crawley’s quest for a way to find the most energy efficient design for a home he was building in 2009. Crawley found there was no way for his architect to easily analyze component tradeoffs to find the best energy and investment combination. The enterprising rocket scientist drew on NASA technology and assembled a select group of industry experts to come up with the Ekotrope solution.",,"MIT faculty as founder | MIT alumni as founder | Nick Meyer, MIT 08 EECS, cofounder, Sloan Senior Lecturer Andrew Bouma, PhD MIT MechE Marty Culpepper, Prof MechE, cofounder","No Street Listed, Cambridge, MA, 02139 • nick@provocative.earth, startupexchange-admin@mit.edu, startupexchange@mit.edu","Apr 9, 2023",1-9,Energy Tech,Energy,Under $2M,"direct air capture, Datacenters, AI, sustainability, carbon removal",https://startupexchange.mit.edu/node/39385,2025-08-22T21:41:20
PSYCHONLINE Edit,https://psychonline.com/,We are focused on developing a patented SaaS software for educating and treating consumers for anxiety and depression without the need for clinical human intervention. The software is developed using clinically researched lifestyle changes and levers that are known to positively impact and permanently treat those with anxiety and depression. Existing solutions focus on utilization of the already stretched provider population and do not help educate consumers on their own self-care. Additional,"Globally over 180 million people have reported to suffer from depression with another 250 million having reported to suffer from anxiety. Sale of prescription and anxiety and anti-depressant drugs which are known to cause dependencies continues to rise globally Additonally, globally the prevalence of youth reporting anxiety and depression continues to rise. Several research studies have revealed that on average 1 in 3 youths are reporting anxiety or depression issues within the last two weeks. Moreover suicides amongst youth also a rising concern with depression and anxiety being the key issue. Unfortunately, the ratio of patients per mental healthcare provider is 1000:1 or more globally with; over 50% of mental health practitioners experiencing signs of burnout. The need is for a novel offering that is less reliant on the low provider network and one that can help address the access gap is urgent.","We are developing a new and novel software as a treatment technology that is based on clinical research and will be patented and leverage data, AI and ML for continuous feedback loop. All technology in use currently is based on human treatment vs. software being the provider of treatment. Additionally, we are right now focused on providing a reasonable priced platform for providers to treat their patients and will mine real world data from this to further enhance our tool for anxiety and depression.",MIT alumni as founder | Nirav Dalal is a MIT Sloan Alum from Batch of 2011 MBA 2011 MIT Sloan School of Management (Major: Management - SM (2nd yr)) - ndalal@alum.mit.edu and Cell Phone: +918828022500,"No Street Listed, Miami, FL, 33132 • nirav@psychonline.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Dec 15, 2018",1-9,Digital Health,Health Care,Under $2M,"digital health, mental health, SaaS, Digital Therapuetics",https://startupexchange.mit.edu/node/35707,2025-08-22T21:41:56
PULSEDATA Edit,http://www.pulsedata.io,"pulseData's machine learning engine software helps health systems, health insurance companies, and risk-bearers precisely and predictively target patients that are about to have bad, expensive health outcomes. The cofounders went to MIT together, reunited after 20-year careers in building high growth enterprise software startups, computer science algo-trading platforms, and machine learning medical data applications.","pulseData's machine learning engine software helps health systems, health insurance companies, and risk-bearers precisely and predictively target patients that are about to have bad, expensive health outcomes. The cofounders went to MIT together, reunited after 20-year careers in building high growth enterprise software startups, computer science algo-trading platforms, and machine learning medical data applications. Enterprise contracts are for our predictive analytics engine, risk-stratifying each patient/member for their likelihood of, within the next 2 years, developing Chronic Kidney Disease and for Hospital Admission.",Please add,"MIT alumni as founder | All 3 co-founders were at MIT together: Hai Po Sun, Mark Homer, Theodore Cha","101 West 79th St, 9F, New York, NY, 10024 • startupexchange-admin@mit.edu, startupexchange@mit.edu, teddy@pulsedata.io","Dec 8, 2015",1-9,Digital Health,Health Care,,,https://startupexchange.mit.edu/node/3630,2025-08-22T21:42:32
"PURVALA BIOSCIENCE, INC. Edit",https://www.purvala.com/,"Pūrvala was founded in 2020 to develop and commercialize advanced biomimetic and biotechnology-based materials for the health and beauty markets. The company's core technologies are based on discoveries from the laboratory of company co-founder Dr. Bradley Olsen, Professor of Chemical Engineering at the Massachusetts Institute of Technology (MIT). Prof. Olsen is one of the world's leading experts on biofunctional and bioinspired materials employing polymer chemistry and protein engineering. The company uses cutting edge biotechnology and chemistry techniques to make innovative and high-performance health and beauty products. Our products are based on insights into biological structures and comprised of proteins, lipids, and other naturally occurring compounds and are inherently non-toxic and environmentally friendly. Pūrvala's initial focus is our technology platform for natural, high-performance, sustainable hair products including hair repair, shaping, and coloring.","The brand is built upon the coexistence of dichotomies: everyday and fantasy, tradition and innovation, design and versatility -- creating an elevated experience that defies trade-offs. Senreve believes women are multifaceted and can have it all -- no compromise necessary. Senreve was born when, as rising female professionals, we found ourselves in search of the perfect luxury handbag. The company was seeking something that was beautiful and feminine, but also versatile enough to keep up with our everyday lives. However, Senreve discovered most designer bags didn’t fully consider all of these needs, so we decided to take matters into their own hands. With Senreve, women are now free to go about their day with ease, empowered to better live their busy, modern lifestyles. From phone and wallet to laptop and lipstick -- finally a beautiful bag that knows how to multitask. What Senreve has created is a seamless blend of elegant design, impeccable quality and innovative construction. The bags are sleek, structured and designed to carry your life in style. They're also lightweight, travel-friendly and just as appropriate for a business meeting as they are for happy hour or brunch. Bags are made from 100% genuine Italian leather with a pebbled finish. Each bag is expertly handcrafted to look and feel soft and supple, structured yet lightweight, and durable and water-resistant. We’ve also invested heavily in a top quality micro-suede lining that most other brands deem too expensive to use. For us, a top-quality product begins with exceptional ingredients. Craftsmen constructing SENREVE bags today have worked with top luxury brands for over 50 years. They employ a difficult inside-out technique that only a few factories in the world are able to do. Senreve believes combining this master craftsmanship with design and innovation sets SENREVE apart as the future of luxury.","Pūrvala’s technologies are based on high-performing bioinspired and biomimetic materials discovered in Prof. Olsen’s laboratory. Using advanced chemistry and biological tools, Prof. Olsen identifies highly-evolved and -functional natural compounds and elucidates the molecular structure that confers their high-performance characteristics. We then use the tools of chemistry and biotechnology to develop even more highly functional versions of these natural compounds. These new versions, however, retain the biocompatibility, lack of toxicity, and environmental friendliness of the naturally-occurring source materials. Pūrvala’s focus is a hair technology platform, initially for natural hair repair, shaping and coloring products. This technology is based on a custom-engineered protein that binds to keratin found in hair. When bioconjugated to a lipid, this patent-protected compound restores natural structure to damaged hair. We are also using this technology to produce a natural hair straightener and hair colorant using the natural pigment melanin as the coloring moiety.","MIT-licensed technology | MIT faculty as founder | MIT alumni as founder | Prof. Brad Olsen and Justin Paloni, who received his Ph.D in Brad's lab, are co-founders. We're licensing from MIT technology related to novel materials for hair care that was developed by Brad and his laboratory.","245 First Street, 18th Floor, Cambridge, MA, 02142 • mblaustein@purvala.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Mar 16, 2020",,Biotech,Consumer,Under $2M,"Beauty, haircare, Biotechnology, biomimetic, natural, Sustainable, biocompatible, peptide, protein, lipid, bioconjugation, hair.",https://startupexchange.mit.edu/node/29325,2025-08-22T21:43:08
QBRAID Edit,https://www.qbraid.com/,"qBraid is the cloud platform for quantum software development. With proven usage at the world’s top hackathons at QuantX, MIT, Stanford x Yale, and NYUAD, qBraid’s users can easily get started on quantum computing and then can dive deep into complex algorithms related to financial optimization, quantum machine learning and more – all in one platform.",qBraid is a one-stop cloud platform for all your quantum software development needs.,"qBraid is comprised of three products on a single platform: qBraid Lab A jupyter baed IDE platform which is the easiest way to access quantum computers(QC). qBraid Lab automates installation of QC software packages and accessing QC of various architectures provided by Rigetti, Dwave, Ionq, Xanadu etc. qBraid Lab has 65 tutorials on quantum software and 14 quantum SDKs readily available. qBraid Lab also offers pay as you go access to quantum hardware on one platform, no contract or cloud service setup necessary. qBraid SDK qBraid SDK allows for a quantum developer to code in their favorite language and take advantage of best-in-class write once and submit functionality for application based benchmarking of quantum computers. qBraid SDK can conduct over 40 circuit permutations with direct access to 10+ QC and simulators. qBraid Learn The learning platform is endorsed by the White House Q12 initiative and allows for students and enterprises to interactively understand quantum computing.",MIT student as founder | Jason Necaise (co-founder) is MIT SB '20 - Physics Student - necaisej@MIT.EDU - see also http://necaise.mit.edu/home,"111 S Wacker Drive, Chicago, IL, 60606 • contact@qbraid.com, kanavsetia@qbraid.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Nov 1, 2019",1-9,Software,Software,$2-10M,"Quantum, Quantum Computing, Simulation, Cloud Computing, SaaS, Enterprise Software, Talent Development, education",https://startupexchange.mit.edu/node/22289,2025-08-22T21:43:44
"QUAISE, INC. Edit",,Quaise enables the global clean energy transition by providing universal access to supercritical geothermal energy through disruptive drilling technology. The millimeter wave drilling system unlocks the largest source of power-dense clean energy on Earth. A game changer in the ongoing clean energy transition.,"Quaise develops millimeter wave drilling systems for deep geothermal heat access. The technology is the only approach in the world with the potential to build geothermal wells at unprecedented depths and temperatures. By targeting depths up to 20 kilometers and temperatures up to 500 degrees Celsius, we will have the ability to build clean electric generation and heat distribution plants within a short distance of every major population and industrial center on the planet, at a fraction of the footprint of other renewables. And by scaling through the established supply base of the fossil fuel industry, we will be able to achieve the terawatt-level annual deployments that will be required to successfully decarbonize our global energy system.","Deep geothermal energy is at the core of an energy-independent world. The mission is to bring this inexhaustible, renewable, clean energy source to future generations. This is the profound power of deep geothermal. Quaise is unlocking energy for all.",MIT alumni as founder | Carlos A Araque is MIT Alum,"501 Massachusetts Avenue, Cambridge, MA, 02139 • carlos@quaise.energy, startupexchange-admin@mit.edu, startupexchange@mit.edu","Jul 1, 2018",1-9,Energy Infrastructure,,,,https://startupexchange.mit.edu/node/24405,2025-08-22T21:44:20
QUANTISCOPE Edit,https://imaging.bio,"We enable seamless AI/ML cellular imaging analysis into therapeutic pipeline workflows to streamline hits, enhance optimization, extend patents, and ultimately save lives.","We are developing AI enterprise tools for the biotech industry. The historical preclinical development cycle in drug discovery employs assays for particular analytes, e.g. does a drug result in suppression of a metabolite. Instead of looking at specific data points to determine efficacy and toxicity of potential drugs, our image screening approach evaluates over a thousand cellular data points to determine performance and safety of drug libraries. We launched through the federal BARDA DRIVe program, based on our potential to scale this technology for broad use in response to global public health threats. Examples of impact application areas for our platform include: -Evaluating large drug libraries for optimal preclinical drug candidates. -Evaluating agricultural solutions to address impacts of climate change, e.g. soil remediation products for wildfire lands. -Measuring in vivo delivery of targeted therapeutics.","Our phenotypIQ cloud-based solution allows researchers to access the power of AI backed image analysis through a plug-and-play process of microscopic image upload. Our product consists of phenotypic modeling informing the selection of optimal preclinical candidates for efficacy and safety. We are first offering a suite of enterprise tools, similar to how complimentary SaaS companies in the space have launched protein folding or AI library building platforms. With further model training, we will be primed for 1:1 co-development partnerships. The robustness of our machine learning models first developed at the Broad Institute are unique and powerful differentiators. We are uniquely innovating around particular approaches to image analysis that can scale across multiple types of biological experiments in unbiased form.",,"kevin@imaging.bio, startupexchange-admin@mit.edu, startupexchange@mit.edu","Aug 1, 2022",1-9,AI/ML,Biotechnology,Under $2M,"AI/ML, Drug discovery, Enterprise",https://startupexchange.mit.edu/node/36753,2025-08-22T21:44:27
"QUANTUM DIAMOND TECHNOLOGIES, INC. Edit",http://quantumdiamondtech.com/,Bringing quantum device research from the lab to applications,"QDTI is developing novel quantum devices and sensors that exploit the unique properties of diamond. Founded in 2012, QDTI uses technology based on fluorescent crystal defects that can be used as sensitive electric and magnetic field probes, thermometers, quantum bits, and photonic elements -- all at the nanoscale.",,"MIT alumni as founder | President and Co-Founder - Seabron Adamson, SM, Technology and Policy","Greentown Labs, 28 Dane Street, Somerville, MA, 02143 • info@quantumdiamondtech.com, sadamson@tulane.edu, startupexchange-admin@mit.edu, startupexchange@mit.edu","Jan 1, 2013",1-9,Nanotech,Biotechnology,,,https://startupexchange.mit.edu/node/2816,2025-08-22T21:45:02
QUANTUM NETWORK TECHNOLOGIES Edit,https://www.qunett.com,"Quantum Network Technologies (Qunett) is at the forefront of revolutionizing quantum information technology by developing scalable quantum networking hardware to enable a global-scale quantum internet. As quantum devices emerge, the ability to transmit quantum information securely and efficiently over long distances will become crucial for the widespread implementation of applications. Our rack-mounted quantum memory system is the first quantum networking solution that can be directly scaled up","There is a critical gap in the quantum technology industry: the need for high-quality, scalable connectivity among quantum computers, sensors, and other devices. As quantum devices emerge, the ability to transmit quantum information securely and efficiently over long distances will become crucial for the widespread implementation of applications. Addressing this challenge is essential for realizing the promising potential of quantum technologies, including unprecedented computational power, superior communications security, and enhanced sensor accuracy. Qunett aims to address this need by developing scalable quantum networking hardware that integrates with existing infrastructure to enable the transmission of quantum information between linked devices. Our mission is to pioneer the development of the world’s first scalable and deployable quantum network, ushering in a new era for the global information grid. This vision begins with the interconnection of quantum computers, essential for tackling complex problems requiring more than a million qubits. With known engineering roadblocks to scaling up single quantum processors, it will be necessary to connect multiple QPUs and form quantum data centers, mirroring the approach used to build classical supercomputers. We plan to expand quantum networking capabilities to metropolitan-scale fiber optic networks, aiming to extend connectivity to even greater distances through satellite links. These networks will be able to connect various quantum devices, facilitating secure communication, enhancing precision measurements, and enabling navigation systems beyond traditional GPS.","The two core challenges of building scalable quantum networks are sufficiently long storage of quantum states in memory and efficient distribution of high-fidelity entanglement. Qunett’s technology distinguishes itself with two strategies for overcoming these challenges. First, we utilize high-density, solid-state quantum memories based on fabricated diamond chips. By leveraging state-of-the-art semiconductor manufacturing techniques, we can densely pack small-footprint qubits, enabling the individual addressing of millions of qubits within a compact memory chip. Second, our approach to an entanglement source ensures the creation of entangled photon pairs using a method called zero-added-loss multiplexing. By generating many pairs of photons simultaneously and using the full spectral bandwidth without any added losses, we can achieve efficient entanglement generation and high transmission rates. With our hardware, we aim to enable efficient and scalable quantum networks, unlocking the full potential of quantum technologies and accelerating their timeline to practical applications.","MIT-licensed technology | MIT faculty as founder | Prof. Dirk Englund, Co-Founder","8 Saint Mary's Street, Room 621F, Boston, MA, 02215 • info@qunett.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Feb 1, 2022",1-9,Innovations,Technology,Under $2M,Quantum,https://startupexchange.mit.edu/node/35043,2025-08-22T21:45:40
"QUERA COMPUTING, INC. Edit",https://www.quera-computing.com/,"QuEra Computing is using the neutral atom technology platform to build the most scalable, powerful, commercially relevant quantum computing capability in the industry.","Quantum computing is a cutting-edge technology redefining the limits of information processing. This transformation is powered by hardware whose smallest parts – quantum bits, or “qubits” – obey the laws of quantum mechanics, introducing innate probability and parallelism to computer programs. This impacts the speed of calculations, quality of solutions, and energy consumption needed to address some of today’s hardest problems. Finally, it opens the doors for new opportunities, sparking the search for novel problems and solutions that will shape the future needs of humankind. We share a single-minded commitment to extract practical use out of these emergent quantum devices.","Technology includes: (1) Laser cooling enables <uK temperature without cryogenics; (2) Rydberg interactions allow high-fidelity, fast multi-qubit gates on selected qubits; and (3) Native qubit mappings minimize resource overhead",MIT-licensed technology | MIT faculty as founder,"1284 Soldiers Field Road, Boston, MA, 02135 • englund@mit.edu, startupexchange-admin@mit.edu, startupexchange@mit.edu, vuletic@mit.edu","Sep 6, 2019",1-9,Software,Software,,,https://startupexchange.mit.edu/node/18658,2025-08-22T21:46:16
QUESTEK INNOVATIONS Edit,https://www.questek.com/,"Leading company in technologies of Integrated Computational Materials Engineering (ICME) and Materials Genomics (MG), with applications underway at Apple, SpaceX and Tesla.","QuesTek can manage all aspects of materials development and qualification, including computational simulation and modeling, metallurgical concept generation, novel design, as well as subsequent experimental characterization and validation. We have a history of success bringing new materials from concept through lab-scale demonstration and to final component qualification and adoption.",Science-based computational materials design grounded in genomic fundamental databases.,MIT faculty as founder | Faculty founded - Gregory B Olson who is a current Professor of the Practice (DMSE).,"1820 Ridge Avenue, Evanston, IL, 60201 • jsebastian@questek.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Nov 1, 2015",25-49,Innovations,,,computational materials engineering,https://startupexchange.mit.edu/node/25593,2025-08-22T21:46:52
QVATEC Edit,http://www.qvatec.com,"Qvatec is a startup company with experiences in providing solutions and services related to open-cell metal foams' production, design, and development.","Qvatec is an internet platform who act as a hub for technology user and technology owner. For technology user, which define as technology entrepreneur, R&D supervisor, product developer or people who use need technology to develop their project or business, they can access to database of technology developed by Thai expert from various field especially from University. They can gain insight of those technologies via news, media and more. They also be able to share their idea of applying those technologies on this platform. Technology owner,which define as inventor, innovator, professor or who create technology, can put their information on this platform which will be view by those technology user.",Please add,"MIT alumni as founder | Yuttanant Boonyongmaneerat, Course 3 Ph.D. Alumni","118 Soi Phongwetchanusorn 2, Bangjark, Prakanong, Bangkok, 10330 • startupexchange-admin@mit.edu, startupexchange@mit.edu, yuttanant.b@chula.ac.th, yuttanant@gmail.com","May 6, 2015",1-9,Other,Manufacturing,,,https://startupexchange.mit.edu/node/3156,2025-08-22T21:47:29
RADIAL ANALYTICS Edit,http://www.radialanalytics.com,"Radial Analytics has developed Smart Placement™, a cloud-based solution for hospitals, payers, and Accountable Care Organizations to improve care quality for the elderly while also controlling medical costs. Radial Analytics is based in Cambridge, MA, and is funded in part by Hacker Angels with support from the National Science Foundation's SBIR Program and from MassVentures. For more information, please visit www.radialanalytics.com.","Radial Analytics has developed Smart Placement™, a cloud-based solution for hospitals and Accountable Care Organizations to improve care quality for the elderly while also controlling medical costs. Radial Analytics is based in Cambridge, MA, and is funded in part by Hacker Angels with support from the National Science Foundation's SBIR Program.","Developed in part through National Science Foundation innovation funding, our patent-pending platform transforms data into real-time patient-individualized actionable insights. The platform incorporates data from over 13 million patients, has processed more than 54 million patient encounters, and has been used daily in hospitals for 2+ years.","MIT alumni as founder | Thaddeus Fulford-Jones (PhD '08, Course 16 with HST GEMS)","125 Cambridge Park Drive, Third Floor, Cambridge, MA, 02140 • fulford@alum.mit.edu, info@radialanalytics.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Jul 1, 2014",1-9,Digital Health,Health Care,,,https://startupexchange.mit.edu/node/3085,2025-08-22T21:48:06
"RAMONA OPTICS, INC. Edit",https://www.ramonaoptics.com/,"Current microscopes cannot capture images at high resolution over an area larger than a few square centimeters, which fundamentally limits what we are able to see and how quickly we are able to see it. At Ramona Optics, we are combining machine learning with novel optics to reinvent what is possible with a microscope.","High-throughput optical microscopy is transforming the science of modern biology -- from genetics to drug discovery to synthetic biology. It is rapidly improving efficiency and opening up new possibilities across a wide range of applications. But scientists today are fundamentally constrained by the limited perspective of traditional microscopes. As field-of-view increases, resolution decreases. Yet modern biology requires an ability to capture precise data across larger areas and at multiple points in time to understand dynamic systems and reduce costs by accelerating tedious workflows. Microscopy also has a data problem. Image data is incredibly large, but much of what’s captured is irrelevant negative space. Parsing through the data for insights is time-consuming and expensive. Ramona Opitcs is on a mission to expand the field-of-view for researchers, startups, and industry while preserving resolution and streamlining automated workflows.",Ramona’s Micro-Camera Array Microscope (MCAM) is the first gigapixel microscope that can capture cellular-level detail over hundreds of square centimeters.,"MIT alumni as founder | Ramona Optics, Inc. was co-founded by MIT alumnae Dr. Roarke Horstmeyer, who received a master of science degree from the MIT Media Lab in 2011.","701 W. Main Street, Suite 4144, Durham, NC, 27701 • info@ramonaoptics.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","May 1, 2016",,Biotech,Biotechnology,Under $2M,,https://startupexchange.mit.edu/node/20534,2025-08-22T21:48:41
"RAN BIOTECHNOLOGIES, INC. Edit",http://www.ranbiotechnologies.com,"RAN Biotech’s RMD technology is addressing the most challenging needs for POU detection of live microbes in the environment. Compared to colony forming assays, RMD is simplifying the test, reducing its cost, increasing the accuracy of detection, speeding up the process and outputting digital results. Such automation allows the use of machine learning and artificial intelligence to better the technology.","RAN Biotechnologies provides materials specially optimized for biotechnological applications. Current products include: (1) materials that capture and detect microbes and include the RMD technology; and (2) materials for microfluidics. RAN Biotech was established in 2012 based on the founder's post-doctoral work in the Chemistry and Biology Departments at MIT. We are located in Beverly, MA, 20 miles north of Boston and our products and technologies are distributed internationally.",,"MIT alumni as founder | Dr. Roger Nassar, RAN Biotechnologies' founder, was a PostDoc in the Chemistry Department at MIT.","100 Cummings Center, Suite 434J, Beverly, MA, 01915 • info@ranbiotechnologies.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","May 10, 2012",1-9,Biotech,Biotechnology,,,https://startupexchange.mit.edu/node/3421,2025-08-22T21:49:18
RAPTOR MAPS Edit,http://raptormaps.com/,"Raptor Maps provides hardware-enabled data analytics to specialty crop farmers and buyers. We integrate and operate fixed-wing unmanned aerial systems (UAS) with crop-specific sensors. Our cloud platform combines this data with other sources to provide critical information that this $60 billion industry lacks. Raptor Maps won the MIT $100K Launch competition, and has collected 2,500 acres of field data to develop its end-to-end solution in conjunction with farmers and buyers.","Raptor Maps provides hardware-enabled data analytics to specialty crop farmers and buyers. We integrate and operate fixed-wing unmanned aerial systems (UAS) with crop-specific sensors. Our cloud platform combines this data with other sources to provide critical, actionable information that this $60 billion industry lacks. Raptor Maps won the MIT $100K Launch competition and has since developed its product in conjunction with specialty crop farmers and buyers.",,"MIT student as founder | MIT alumni as founder | Three co-founders are MIT graduate students (pursuing PhDs in Man-Vehicle Lab in Course 16) Nikhil Vadhavkar, Forrest Meyen Edward Obropta, Jr. - B.S aerospace engineering - eobropta@alum.mit.edu","Greentown Labs 28 Dane Street Somerville, MA 02143, Somerville, Massachusetts, 02143 • nikhil@raptormaps.com, nvadhavk@mit.edu, startupexchange-admin@mit.edu, startupexchange@mit.edu","Jan 1, 2015",1-9,Foodtech,Agriculture,NULL,,https://startupexchange.mit.edu/node/3103,2025-08-22T21:49:54
RAYSECUR INC. Edit,http://raysecur.com/,"RaySecur is transforming security detection by delivering X-ray like imaging without harmful X-rays. Our patented T-ray imaging systems deliver real-time, 3D imaging of concealed items to detect more and smaller threats and contraband than conventional security screening systems. Today our solutions are deployed across four continents and are used by 4 of the 5 largest US corporations, in addition to governments and law enforcement to keep their people and critical assets safe.","RaySecur® is the leader in T-ray security imaging to detect concealed threats and contraband with MailSecur®, the world's first desktop T-ray screening system designated by the US Department of Homeland Security under the Safety Act as a Qualified Anti-Terror Technology. MailSecur delivers real-time, 3D video of contents concealed inside items without opening them and without ionizing radiation, unlike X-ray. RaySecur’s patented T-ray imaging systems are small, portable, and provide broad detection capabilities including weapons, explosives, chemical, biological, and even radiological agents, and is 300x more sensitive than X-ray to detect small quantities of powders and liquids, including drugs and drug-laced papers. MailSecur supports remote connectivity to RaySecur’s team of former military and law enforcement experts 24 x 365 for image analysis and support. RaySecur is trusted by Fortune 500 companies, government agencies, and heads of state to keep their staff and operations safe from concealed threats and contraband.","RaySecur's patented terahertz (T-ray) imaging systems enables real-time, non-invasive imaging of concealed items. Unlike X-rays which generate ionizing radiation and static 2D images, T-rays are safe and enable live, 3D video imaging of contents concealed inside other items or packaging. RaySecur's proprietary optical systems leverage the world's most advanced multi-pixel terahertz detectors to deliver unparalleled imaging capabilities in a small, portable, desktop scanner. Image processing, enhancement, and analysis is supported by advanced software algorithms and artificial intelligence models.","MIT alumni as founder | Dr. Alexander Sappok, CEO, is a co-founder. He holds S.M. and Ph.D. degrees from MIT. He is an active MIT VMS mentor, and previously founded and served as CEO of FST, an MIT-spin out company with MIT-licensed technology developing advanced sensors. FST was acquired by (NYSE: CTS) in 2015. Noah Loren, CPO, MIT post graduate fellowship in management and innovation with a focus on energy efficiency and sustainability (2013-14).","356 University Avenue, Westwood, MA, 02090 • alex@raysecur.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Jun 15, 2015",25-49,Hardware/Software Combos & Devices,Technology,$10-20M,"security, imaging, terahertz, THz, mmWave, T-ray, X-ray, detection, trace detection",https://startupexchange.mit.edu/node/14511,2025-08-22T21:50:30
